match_id,innings,over,ball,team1,team2,striker,non_striker,bowler,venue,runs_scored,wicket,dismissal_type,extras,phase,current_rr,required_rr,target,wickets_remaining,ball_outcome
1001349,1,0,0,Australia,Sri Lanka,AJ Finch,M Klinger,SL Malinga,Melbourne Cricket Ground,0,False,,0,powerplay,6.022062699178066,11.541171013188574,155,4,0
1001349,1,0,1,Australia,Sri Lanka,AJ Finch,M Klinger,SL Malinga,Melbourne Cricket Ground,0,False,,0,powerplay,9.973464293741072,7.501117819285465,212,1,0
1001349,1,0,2,Australia,Sri Lanka,AJ Finch,M Klinger,SL Malinga,Melbourne Cricket Ground,1,False,,0,powerplay,8.554139125987842,7.592737379783054,196,1,1
1001349,1,0,3,Australia,Sri Lanka,M Klinger,AJ Finch,SL Malinga,Melbourne Cricket Ground,2,False,,0,powerplay,7.610043905847236,11.247230644761583,194,1,2
1001349,1,0,4,Australia,Sri Lanka,M Klinger,AJ Finch,SL Malinga,Melbourne Cricket Ground,0,False,,0,powerplay,7.5291674606309265,10.928296959385724,161,8,0
1001349,1,0,5,Australia,Sri Lanka,M Klinger,AJ Finch,SL Malinga,Melbourne Cricket Ground,3,False,,0,powerplay,8.073462781413474,10.382595916865153,178,2,3
1001349,1,1,0,Australia,Sri Lanka,M Klinger,AJ Finch,KMDN Kulasekara,Melbourne Cricket Ground,0,False,,0,powerplay,7.300407102797179,11.325013489094298,170,4,0
1001349,1,1,1,Australia,Sri Lanka,M Klinger,AJ Finch,KMDN Kulasekara,Melbourne Cricket Ground,1,False,,0,powerplay,8.78446362293367,10.099061896485575,201,3,1
1001349,1,1,2,Australia,Sri Lanka,AJ Finch,M Klinger,KMDN Kulasekara,Melbourne Cricket Ground,0,False,,0,powerplay,8.732794296993161,10.131249277078958,199,8,0
1001349,1,1,3,Australia,Sri Lanka,AJ Finch,M Klinger,KMDN Kulasekara,Melbourne Cricket Ground,0,False,,0,powerplay,6.513266177527688,11.343133672083313,158,5,0
1001349,1,1,4,Australia,Sri Lanka,AJ Finch,M Klinger,KMDN Kulasekara,Melbourne Cricket Ground,4,False,,0,powerplay,7.855015204241803,8.826938985509493,191,6,4
1001349,1,1,5,Australia,Sri Lanka,AJ Finch,M Klinger,KMDN Kulasekara,Melbourne Cricket Ground,2,False,,0,powerplay,8.528577229711999,11.22479317828724,160,3,2
1001349,1,2,0,Australia,Sri Lanka,M Klinger,AJ Finch,JRMVB Sanjaya,Melbourne Cricket Ground,1,False,,0,powerplay,6.519806248142049,7.207313535635712,151,7,1
1001349,1,2,1,Australia,Sri Lanka,AJ Finch,M Klinger,JRMVB Sanjaya,Melbourne Cricket Ground,1,False,,0,powerplay,7.54184028851474,10.801907530463495,172,9,1
1001349,1,2,2,Australia,Sri Lanka,M Klinger,AJ Finch,JRMVB Sanjaya,Melbourne Cricket Ground,0,False,,0,powerplay,8.746448160320462,8.067886577779324,205,7,0
1001349,1,2,3,Australia,Sri Lanka,M Klinger,AJ Finch,JRMVB Sanjaya,Melbourne Cricket Ground,0,False,,0,powerplay,8.434353918771645,11.124659305969326,202,5,0
1001349,1,2,4,Australia,Sri Lanka,M Klinger,AJ Finch,JRMVB Sanjaya,Melbourne Cricket Ground,4,False,,0,powerplay,8.15223541424175,9.837811137187472,173,2,4
1001349,1,2,5,Australia,Sri Lanka,M Klinger,AJ Finch,JRMVB Sanjaya,Melbourne Cricket Ground,0,False,,0,powerplay,6.686227654995232,7.901112867375315,164,6,0
1001349,1,3,0,Australia,Sri Lanka,AJ Finch,M Klinger,KMDN Kulasekara,Melbourne Cricket Ground,0,False,,0,powerplay,7.4466415180323615,11.167990216270013,204,7,0
1001349,1,3,1,Australia,Sri Lanka,AJ Finch,M Klinger,KMDN Kulasekara,Melbourne Cricket Ground,1,False,,0,powerplay,8.334780870753109,7.2719373317789655,172,7,1
1001349,1,3,2,Australia,Sri Lanka,M Klinger,AJ Finch,KMDN Kulasekara,Melbourne Cricket Ground,1,False,,0,powerplay,8.318223716090365,11.422413861531947,164,2,1
1001349,1,3,3,Australia,Sri Lanka,AJ Finch,M Klinger,KMDN Kulasekara,Melbourne Cricket Ground,1,False,,0,powerplay,6.358312737817896,10.905758395538683,217,6,1
1001349,1,3,4,Australia,Sri Lanka,M Klinger,AJ Finch,KMDN Kulasekara,Melbourne Cricket Ground,4,False,,0,powerplay,9.123625443947988,10.678549543226374,171,4,4
1001349,1,3,5,Australia,Sri Lanka,M Klinger,AJ Finch,KMDN Kulasekara,Melbourne Cricket Ground,1,False,,0,powerplay,9.633337509201853,11.242562011323342,166,8,1
1001349,1,4,0,Australia,Sri Lanka,M Klinger,AJ Finch,JRMVB Sanjaya,Melbourne Cricket Ground,3,False,,0,powerplay,6.686944548991686,9.538676047359615,182,9,3
1001349,1,4,1,Australia,Sri Lanka,AJ Finch,M Klinger,JRMVB Sanjaya,Melbourne Cricket Ground,3,False,,0,powerplay,9.917371338089552,9.400510320682109,152,1,3
1001349,1,4,2,Australia,Sri Lanka,M Klinger,AJ Finch,JRMVB Sanjaya,Melbourne Cricket Ground,4,False,,0,powerplay,8.604650624959437,7.271786242568898,170,4,4
1001349,1,4,3,Australia,Sri Lanka,M Klinger,AJ Finch,JRMVB Sanjaya,Melbourne Cricket Ground,4,False,,0,powerplay,9.143160257780625,11.222112192037702,202,7,4
1001349,1,4,4,Australia,Sri Lanka,M Klinger,AJ Finch,JRMVB Sanjaya,Melbourne Cricket Ground,1,False,,0,powerplay,6.104921118531103,10.864379978563212,172,4,1
1001349,1,4,5,Australia,Sri Lanka,AJ Finch,M Klinger,JRMVB Sanjaya,Melbourne Cricket Ground,1,False,,0,powerplay,6.50372125055258,8.545406322722231,207,7,1
